source,monthOfYear,avgActual,avgPredicted,avgErrPct,samples
cashout,01,464.47,0.00,100.00,2
cashout,02,0.00,233.27,100.00,1
cashout,03,211.26,0.00,100.00,1
cashout,04,315.54,194.66,38.31,1
cashout,05,1058.00,78.63,92.57,2
cashout,06,1096.00,228.69,79.13,2
cashout,07,764.00,357.84,53.16,2
cashout,08,855.19,398.67,53.38,2
cashout,09,450.28,501.76,11.43,2
cashout,10,289.25,444.02,53.51,1
cashout,11,407.32,393.96,3.28,2
cashout,12,367.47,0.00,100.00,2
check_deposit,01,525.00,69.69,86.73,2
check_deposit,02,0.00,155.07,100.00,1
check_deposit,03,450.00,0.00,100.00,1
check_deposit,04,0.00,236.46,100.00,1
check_deposit,05,4855.07,0.00,100.00,2
check_deposit,06,0.00,701.99,100.00,2
check_deposit,07,554.00,434.31,21.61,2
check_deposit,08,2500.00,1181.94,52.72,2
check_deposit,09,0.00,970.98,100.00,1
check_deposit,10,620.00,483.62,22.00,2
check_deposit,11,100.00,0.00,100.00,1
check_deposit,12,300.00,0.00,100.00,1
other,01,11363.96,131.82,98.84,2
other,02,741.23,0.00,100.00,1
other,03,1443.40,0.00,100.00,1
other,04,477.37,0.00,100.00,1
other,05,1443.17,104.96,92.73,2
other,06,1159.70,383.68,66.92,2
other,07,810.16,124.31,84.66,2
other,08,982.89,0.00,100.00,2
other,09,1448.59,474.70,67.23,2
other,10,1063.86,66.92,93.71,2
other,11,1376.99,373.79,72.85,2
other,12,1622.01,294.48,81.84,2
transfer_like,01,120.78,2128.66,1662.50,2
transfer_like,02,706.82,247.78,64.94,1
transfer_like,03,470.78,481.14,2.20,1
transfer_like,04,238.01,326.54,37.20,1
transfer_like,05,457.07,480.02,5.02,2
transfer_like,06,523.08,113.63,78.28,2
transfer_like,07,525.45,268.27,48.94,2
transfer_like,08,607.48,336.11,44.67,2
transfer_like,09,1200.98,75.64,93.70,2
transfer_like,10,1514.65,906.02,40.18,2
transfer_like,11,975.58,1325.04,35.82,2
transfer_like,12,2700.25,2580.13,4.45,2
